symbol,type,entry_price,entry_time,target_price,target_exit_time,status,exit_price,variation,result,quality_score,signal_class,trend_score,alignment_score,market_score,strategy_info,trend_timeframe,entry_timeframe,trend_strength,confluence_count,leverage,max_exit_time,expected_duration
HFTUSDT,LONG,0.13677,2025-07-02 08:06:28,0.1518873,2025-07-09 08:06:28,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
RESOLVUSDT,SHORT,0.13767,2025-07-02 08:06:46,0.12501417,2025-07-09 08:06:46,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
1000000BOBUSDT,LONG,0.05305,2025-07-02 08:06:50,0.0585177,2025-07-09 08:06:50,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
SWARMSUSDT,LONG,0.02205,2025-07-02 08:07:00,0.02358244,2025-07-09 08:07:00,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
BROCCOLI714USDT,LONG,0.04189,2025-07-02 08:07:02,0.04535271,2025-07-09 08:07:02,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
FIDAUSDT,LONG,0.07938,2025-07-02 08:07:14,0.08429709,2025-07-09 08:07:14,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
ARPAUSDT,LONG,0.02145,2025-07-02 08:21:27,0.02330473,2025-07-09 08:21:27,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
PENGUUSDT,LONG,0.01466,2025-07-02 09:04:01,0.01593243,2025-07-09 09:04:01,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
SXTUSDT,LONG,0.07392,2025-07-02 09:04:50,0.07883812,2025-07-09 09:04:50,OPEN,,,,93.0,Sinais Premium,20.0,30.0,43.0,Alta,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
MAVUSDT,SHORT,0.04869,2025-07-02 09:10:36,0.04400236,2025-07-09 09:10:36,OPEN,,,,100.0,Sinais Premium,20.0,30.0,50.0,Baixa,4h,1h,0.0,0.0,50.0,,"1-3 dias (típico), até 7 dias (normal), máximo 15 dias"
